... loading data
... building the model
Elemwise{true_div,no_inplace}.0
... getting the pretraining functions
... loading data
... building the model
Elemwise{true_div,no_inplace}.0
... getting the pretraining functions
... pre-training the model
Pre-training layer 0, epoch 0, cost  368.412878035
epoch 53, minibatch 300/300, validation error 18.867925 %
epoch 54, minibatch 300/300, validation error 18.867925 %
epoch 55, minibatch 300/300, validation error 18.867925 %
epoch 56, minibatch 300/300, validation error 18.867925 %
epoch 57, minibatch 300/300, validation error 18.867925 %
epoch 58, minibatch 300/300, validation error 18.867925 %
epoch 59, minibatch 300/300, validation error 18.867925 %
epoch 60, minibatch 300/300, validation error 18.867925 %
epoch 61, minibatch 300/300, validation error 18.867925 %
epoch 62, minibatch 300/300, validation error 18.867925 %
epoch 63, minibatch 300/300, validation error 18.867925 %
epoch 64, minibatch 300/300, validation error 18.867925 %
epoch 65, minibatch 300/300, validation error 18.867925 %
epoch 66, minibatch 300/300, validation error 18.867925 %
epoch 67, minibatch 300/300, validation error 18.867925 %
epoch 68, minibatch 300/300, validation error 18.867925 %
epoch 69, minibatch 300/300, validation error 18.867925 %
epoch 70, minibatch 300/300, validation error 18.867925 %
epoch 71, minibatch 300/300, validation error 18.867925 %
epoch 72, minibatch 300/300, validation error 18.867925 %
epoch 73, minibatch 300/300, validation error 18.867925 %
epoch 74, minibatch 300/300, validation error 18.867925 %
epoch 75, minibatch 300/300, validation error 18.867925 %
epoch 76, minibatch 300/300, validation error 18.867925 %
epoch 77, minibatch 300/300, validation error 18.867925 %
epoch 78, minibatch 300/300, validation error 18.867925 %
epoch 79, minibatch 300/300, validation error 18.867925 %
epoch 80, minibatch 300/300, validation error 18.867925 %
epoch 81, minibatch 300/300, validation error 18.867925 %
epoch 82, minibatch 300/300, validation error 18.867925 %
epoch 83, minibatch 300/300, validation error 18.867925 %
epoch 84, minibatch 300/300, validation error 18.867925 %
epoch 85, minibatch 300/300, validation error 18.867925 %
epoch 86, minibatch 300/300, validation error 18.867925 %
epoch 87, minibatch 300/300, validation error 18.867925 %
epoch 88, minibatch 300/300, validation error 18.867925 %
epoch 89, minibatch 300/300, validation error 18.867925 %
epoch 90, minibatch 300/300, validation error 18.867925 %
epoch 91, minibatch 300/300, validation error 18.867925 %
epoch 92, minibatch 300/300, validation error 18.867925 %
epoch 93, minibatch 300/300, validation error 18.867925 %
epoch 94, minibatch 300/300, validation error 18.867925 %
epoch 95, minibatch 300/300, validation error 18.867925 %
epoch 96, minibatch 300/300, validation error 18.867925 %
epoch 97, minibatch 300/300, validation error 18.867925 %
epoch 98, minibatch 300/300, validation error 18.867925 %
epoch 99, minibatch 300/300, validation error 18.867925 %
epoch 100, minibatch 300/300, validation error 18.867925 %
best logistic values:
Optimization complete with best validation score of 18.867925 %, on iteration 300, with test performance 20.000000 %
... loading data
... building the model
Elemwise{true_div,no_inplace}.0
... getting the pretraining functions
... pre-training the model
Pre-training layer 0, epoch 0, cost  301.079296295
Pre-training layer 0, epoch 1, cost  118.664514131
Pre-training layer 0, epoch 2, cost  94.2960482298
Pre-training layer 0, epoch 3, cost  81.8278368103
Pre-training layer 0, epoch 4, cost  75.2865290197
Pre-training layer 0, epoch 5, cost  64.8311986117
Pre-training layer 0, epoch 6, cost  57.489382728
Pre-training layer 0, epoch 7, cost  47.5829220098
Pre-training layer 0, epoch 8, cost  36.7221920569
Pre-training layer 0, epoch 9, cost  29.0805061855
Pre-training layer 0, epoch 10, cost  18.3752978462
Pre-training layer 0, epoch 11, cost  13.6202283156
Pre-training layer 0, epoch 12, cost  2.65266880252
Pre-training layer 0, epoch 13, cost  -9.9847303784
Pre-training layer 0, epoch 14, cost  -18.7947216922
... getting the finetuning functions
40
53
... finetuning the model
epoch 1, minibatch 300/300, validation error 18.867925 %
     epoch 1, minibatch 300/300, test error of best model 10.000000 %
epoch 2, minibatch 300/300, validation error 18.867925 %
epoch 3, minibatch 300/300, validation error 18.867925 %
epoch 4, minibatch 300/300, validation error 11.320755 %
     epoch 4, minibatch 300/300, test error of best model 10.000000 %
epoch 5, minibatch 300/300, validation error 7.547170 %
     epoch 5, minibatch 300/300, test error of best model 10.000000 %
epoch 6, minibatch 300/300, validation error 11.320755 %
epoch 7, minibatch 300/300, validation error 9.433962 %
epoch 8, minibatch 300/300, validation error 9.433962 %
epoch 9, minibatch 300/300, validation error 9.433962 %
epoch 10, minibatch 300/300, validation error 11.320755 %
epoch 11, minibatch 300/300, validation error 11.320755 %
epoch 12, minibatch 300/300, validation error 11.320755 %
epoch 13, minibatch 300/300, validation error 11.320755 %
epoch 14, minibatch 300/300, validation error 11.320755 %
epoch 15, minibatch 300/300, validation error 11.320755 %
epoch 16, minibatch 300/300, validation error 9.433962 %
epoch 17, minibatch 300/300, validation error 9.433962 %
epoch 18, minibatch 300/300, validation error 9.433962 %
epoch 19, minibatch 300/300, validation error 9.433962 %
epoch 20, minibatch 300/300, validation error 9.433962 %
epoch 21, minibatch 300/300, validation error 9.433962 %
epoch 22, minibatch 300/300, validation error 9.433962 %
epoch 23, minibatch 300/300, validation error 9.433962 %
epoch 24, minibatch 300/300, validation error 9.433962 %
epoch 25, minibatch 300/300, validation error 9.433962 %
epoch 26, minibatch 300/300, validation error 9.433962 %
epoch 27, minibatch 300/300, validation error 9.433962 %
epoch 28, minibatch 300/300, validation error 9.433962 %
epoch 29, minibatch 300/300, validation error 9.433962 %
epoch 30, minibatch 300/300, validation error 9.433962 %
epoch 31, minibatch 300/300, validation error 9.433962 %
epoch 32, minibatch 300/300, validation error 9.433962 %
epoch 33, minibatch 300/300, validation error 9.433962 %
epoch 34, minibatch 300/300, validation error 9.433962 %
epoch 35, minibatch 300/300, validation error 9.433962 %
epoch 36, minibatch 300/300, validation error 9.433962 %
epoch 37, minibatch 300/300, validation error 9.433962 %
epoch 38, minibatch 300/300, validation error 9.433962 %
epoch 39, minibatch 300/300, validation error 9.433962 %
epoch 40, minibatch 300/300, validation error 11.320755 %
epoch 41, minibatch 300/300, validation error 11.320755 %
epoch 42, minibatch 300/300, validation error 11.320755 %
epoch 43, minibatch 300/300, validation error 11.320755 %
epoch 44, minibatch 300/300, validation error 11.320755 %
epoch 45, minibatch 300/300, validation error 11.320755 %
epoch 46, minibatch 300/300, validation error 11.320755 %
epoch 47, minibatch 300/300, validation error 11.320755 %
epoch 48, minibatch 300/300, validation error 11.320755 %
epoch 49, minibatch 300/300, validation error 11.320755 %
epoch 50, minibatch 300/300, validation error 11.320755 %
epoch 51, minibatch 300/300, validation error 11.320755 %
epoch 52, minibatch 300/300, validation error 11.320755 %
epoch 53, minibatch 300/300, validation error 11.320755 %
epoch 54, minibatch 300/300, validation error 11.320755 %
epoch 55, minibatch 300/300, validation error 11.320755 %
epoch 56, minibatch 300/300, validation error 11.320755 %
epoch 57, minibatch 300/300, validation error 11.320755 %
epoch 58, minibatch 300/300, validation error 11.320755 %
epoch 59, minibatch 300/300, validation error 11.320755 %
epoch 60, minibatch 300/300, validation error 11.320755 %
epoch 61, minibatch 300/300, validation error 11.320755 %
epoch 62, minibatch 300/300, validation error 11.320755 %
epoch 63, minibatch 300/300, validation error 11.320755 %
epoch 64, minibatch 300/300, validation error 11.320755 %
epoch 65, minibatch 300/300, validation error 11.320755 %
epoch 66, minibatch 300/300, validation error 11.320755 %
epoch 67, minibatch 300/300, validation error 11.320755 %
epoch 68, minibatch 300/300, validation error 11.320755 %
epoch 69, minibatch 300/300, validation error 11.320755 %
epoch 70, minibatch 300/300, validation error 11.320755 %
epoch 71, minibatch 300/300, validation error 11.320755 %
epoch 72, minibatch 300/300, validation error 9.433962 %
epoch 73, minibatch 300/300, validation error 9.433962 %
epoch 74, minibatch 300/300, validation error 9.433962 %
epoch 75, minibatch 300/300, validation error 9.433962 %
epoch 76, minibatch 300/300, validation error 9.433962 %
epoch 77, minibatch 300/300, validation error 9.433962 %
epoch 78, minibatch 300/300, validation error 9.433962 %
epoch 79, minibatch 300/300, validation error 9.433962 %
epoch 80, minibatch 300/300, validation error 9.433962 %
epoch 81, minibatch 300/300, validation error 9.433962 %
epoch 82, minibatch 300/300, validation error 9.433962 %
epoch 83, minibatch 300/300, validation error 9.433962 %
epoch 84, minibatch 300/300, validation error 9.433962 %
epoch 85, minibatch 300/300, validation error 9.433962 %
epoch 86, minibatch 300/300, validation error 9.433962 %
epoch 87, minibatch 300/300, validation error 9.433962 %
epoch 88, minibatch 300/300, validation error 9.433962 %
epoch 89, minibatch 300/300, validation error 9.433962 %
epoch 90, minibatch 300/300, validation error 9.433962 %
epoch 91, minibatch 300/300, validation error 9.433962 %
epoch 92, minibatch 300/300, validation error 9.433962 %
epoch 93, minibatch 300/300, validation error 9.433962 %
epoch 94, minibatch 300/300, validation error 9.433962 %
epoch 95, minibatch 300/300, validation error 9.433962 %
epoch 96, minibatch 300/300, validation error 9.433962 %
epoch 97, minibatch 300/300, validation error 9.433962 %
epoch 98, minibatch 300/300, validation error 9.433962 %
epoch 99, minibatch 300/300, validation error 9.433962 %
epoch 100, minibatch 300/300, validation error 9.433962 %
best logistic values:
Optimization complete with best validation score of 7.547170 %, on iteration 1500, with test performance 10.000000 %
... loading data
... building the model
Elemwise{true_div,no_inplace}.0
... getting the pretraining functions
... pre-training the model
Pre-training layer 0, epoch 0, cost  301.079296295
Pre-training layer 0, epoch 1, cost  118.664514131
Pre-training layer 0, epoch 2, cost  94.2960482298
Pre-training layer 0, epoch 3, cost  81.8278368103
Pre-training layer 0, epoch 4, cost  75.2865290197
Pre-training layer 0, epoch 5, cost  64.8311986117
Pre-training layer 0, epoch 6, cost  57.489382728
Pre-training layer 0, epoch 7, cost  47.5829220098
Pre-training layer 0, epoch 8, cost  36.7221920569
Pre-training layer 0, epoch 9, cost  29.0805061855
Pre-training layer 0, epoch 10, cost  18.3752978462
Pre-training layer 0, epoch 11, cost  13.6202283156
Pre-training layer 0, epoch 12, cost  2.65266880252
Pre-training layer 0, epoch 13, cost  -9.9847303784
Pre-training layer 0, epoch 14, cost  -18.7947216922
... getting the finetuning functions
40
53
... finetuning the model
epoch 1, minibatch 300/300, validation error 18.867925 %
     epoch 1, minibatch 300/300, test error of best model 10.000000 %
... loading data
... building the model
Elemwise{true_div,no_inplace}.0
... getting the pretraining functions
... pre-training the model
Pre-training layer 0, epoch 0, cost  301.079296295
Pre-training layer 0, epoch 1, cost  118.664514131
Pre-training layer 0, epoch 2, cost  94.2960482298
Pre-training layer 0, epoch 3, cost  81.8278368103
Pre-training layer 0, epoch 4, cost  75.2865290197
Pre-training layer 0, epoch 5, cost  64.8311986117
Pre-training layer 0, epoch 6, cost  57.489382728
Pre-training layer 0, epoch 7, cost  47.5829220098
Pre-training layer 0, epoch 8, cost  36.7221920569
Pre-training layer 0, epoch 9, cost  29.0805061855
Pre-training layer 0, epoch 10, cost  18.3752978462
Pre-training layer 0, epoch 11, cost  13.6202283156
Pre-training layer 0, epoch 12, cost  2.65266880252
Pre-training layer 0, epoch 13, cost  -9.9847303784
Pre-training layer 0, epoch 14, cost  -18.7947216922
... getting the finetuning functions
40
53
... finetuning the model
epoch 1, minibatch 300/300, validation error 18.867925 %
     epoch 1, minibatch 300/300, test error of best model 10.000000 %
epoch 2, minibatch 300/300, validation error 18.867925 %
epoch 3, minibatch 300/300, validation error 18.867925 %
epoch 4, minibatch 300/300, validation error 11.320755 %
     epoch 4, minibatch 300/300, test error of best model 10.000000 %
epoch 5, minibatch 300/300, validation error 7.547170 %
     epoch 5, minibatch 300/300, test error of best model 10.000000 %
epoch 6, minibatch 300/300, validation error 11.320755 %
epoch 7, minibatch 300/300, validation error 9.433962 %
epoch 8, minibatch 300/300, validation error 9.433962 %
epoch 9, minibatch 300/300, validation error 9.433962 %
epoch 10, minibatch 300/300, validation error 11.320755 %
epoch 11, minibatch 300/300, validation error 11.320755 %
epoch 12, minibatch 300/300, validation error 11.320755 %
epoch 13, minibatch 300/300, validation error 11.320755 %
epoch 14, minibatch 300/300, validation error 11.320755 %
epoch 15, minibatch 300/300, validation error 11.320755 %
epoch 16, minibatch 300/300, validation error 9.433962 %
epoch 17, minibatch 300/300, validation error 9.433962 %
epoch 18, minibatch 300/300, validation error 9.433962 %
epoch 19, minibatch 300/300, validation error 9.433962 %
epoch 20, minibatch 300/300, validation error 9.433962 %
epoch 21, minibatch 300/300, validation error 9.433962 %
epoch 22, minibatch 300/300, validation error 9.433962 %
epoch 23, minibatch 300/300, validation error 9.433962 %
epoch 24, minibatch 300/300, validation error 9.433962 %
epoch 25, minibatch 300/300, validation error 9.433962 %
epoch 26, minibatch 300/300, validation error 9.433962 %
epoch 27, minibatch 300/300, validation error 9.433962 %
epoch 28, minibatch 300/300, validation error 9.433962 %
epoch 29, minibatch 300/300, validation error 9.433962 %
epoch 30, minibatch 300/300, validation error 9.433962 %
epoch 31, minibatch 300/300, validation error 9.433962 %
epoch 32, minibatch 300/300, validation error 9.433962 %
epoch 33, minibatch 300/300, validation error 9.433962 %
epoch 34, minibatch 300/300, validation error 9.433962 %
epoch 35, minibatch 300/300, validation error 9.433962 %
epoch 36, minibatch 300/300, validation error 9.433962 %
epoch 37, minibatch 300/300, validation error 9.433962 %
epoch 38, minibatch 300/300, validation error 9.433962 %
epoch 39, minibatch 300/300, validation error 9.433962 %
epoch 40, minibatch 300/300, validation error 11.320755 %
epoch 41, minibatch 300/300, validation error 11.320755 %
epoch 42, minibatch 300/300, validation error 11.320755 %
epoch 43, minibatch 300/300, validation error 11.320755 %
epoch 44, minibatch 300/300, validation error 11.320755 %
epoch 45, minibatch 300/300, validation error 11.320755 %
epoch 46, minibatch 300/300, validation error 11.320755 %
epoch 47, minibatch 300/300, validation error 11.320755 %
epoch 48, minibatch 300/300, validation error 11.320755 %
epoch 49, minibatch 300/300, validation error 11.320755 %
epoch 50, minibatch 300/300, validation error 11.320755 %
